shape_id,shape_pt_sequence,shape_pt_lat,shape_pt_lon,shape_dist_traveled
1-SHUTTLE-A-NB,13153,47.464010,-122.287950,0.0
1-SHUTTLE-A-NB,13154,47.464200,-122.288460,43.77
1-SHUTTLE-A-NB,13155,47.464270,-122.288660,60.7
1-SHUTTLE-A-NB,13156,47.464280,-122.288700,63.91
1-SHUTTLE-A-NB,13157,47.464310,-122.288730,67.94
1-SHUTTLE-A-NB,13158,47.464330,-122.288750,70.62
1-SHUTTLE-A-NB,13159,47.464360,-122.288770,74.28
1-SHUTTLE-A-NB,13160,47.464390,-122.288770,77.62
1-SHUTTLE-A-NB,13161,47.464420,-122.288760,81.04
1-SHUTTLE-A-NB,13162,47.464440,-122.288750,83.38
1-SHUTTLE-A-NB,13163,47.464540,-122.288670,96.02
1-SHUTTLE-A-NB,13164,47.464570,-122.288650,99.68
1-SHUTTLE-A-NB,13165,47.464600,-122.288610,104.17
1-SHUTTLE-A-NB,13166,47.464610,-122.288560,108.09
1-SHUTTLE-A-NB,13167,47.464620,-122.288520,111.3
1-SHUTTLE-A-NB,13168,47.464630,-122.288300,127.88
1-SHUTTLE-A-NB,13169,47.464630,-122.288050,146.67
1-SHUTTLE-A-NB,13170,47.464630,-122.287910,157.19
1-SHUTTLE-A-NB,13171,47.464630,-122.287760,168.47
1-SHUTTLE-A-NB,13172,47.464630,-122.287500,188.01
1-SHUTTLE-A-NB,13173,47.464630,-122.287250,206.81
1-SHUTTLE-A-NB,13174,47.464630,-122.287130,215.83
1-SHUTTLE-A-NB,13175,47.464630,-122.286910,232.37
1-SHUTTLE-A-NB,13176,47.464990,-122.286910,272.4
1-SHUTTLE-A-NB,13177,47.465150,-122.286890,290.25
1-SHUTTLE-A-NB,13178,47.465150,-122.287080,304.53
1-SHUTTLE-A-NB,13179,47.465160,-122.287910,366.94
1-SHUTTLE-A-NB,13180,47.465160,-122.287970,371.45
1-SHUTTLE-A-NB,13181,47.465160,-122.288700,426.32
1-SHUTTLE-A-NB,13182,47.465160,-122.288960,445.87
1-SHUTTLE-A-NB,13183,47.465020,-122.289030,462.3
1-SHUTTLE-A-NB,13184,47.464560,-122.289280,516.79
1-SHUTTLE-A-NB,13185,47.464330,-122.289400,543.91
1-SHUTTLE-A-NB,13186,47.463860,-122.289640,599.2
1-SHUTTLE-A-NB,13187,47.463800,-122.289680,606.52
1-SHUTTLE-A-NB,13188,47.463020,-122.290080,698.31
1-SHUTTLE-A-NB,13189,47.462970,-122.290020,705.47
1-SHUTTLE-A-NB,13190,47.462940,-122.289950,711.7
1-SHUTTLE-A-NB,13191,47.462910,-122.289870,718.58
1-SHUTTLE-A-NB,13192,47.462900,-122.289820,722.5
1-SHUTTLE-A-NB,13193,47.462870,-122.289700,732.12
1-SHUTTLE-A-NB,13194,47.462740,-122.286950,939.36
1-SHUTTLE-A-NB,13195,47.462680,-122.285930,1016.33
1-SHUTTLE-A-NB,13196,47.462660,-122.285550,1044.98
1-SHUTTLE-A-NB,13197,47.462660,-122.285180,1072.79
1-SHUTTLE-A-NB,13198,47.462680,-122.284850,1097.7
1-SHUTTLE-A-NB,13199,47.462740,-122.284430,1129.97
1-SHUTTLE-A-NB,13200,47.462830,-122.283990,1164.53
1-SHUTTLE-A-NB,13201,47.462930,-122.283540,1200.14
1-SHUTTLE-A-NB,13202,47.462990,-122.283300,1219.38
1-SHUTTLE-A-NB,13203,47.463130,-122.283020,1245.56
1-SHUTTLE-A-NB,13204,47.463160,-122.282910,1254.47
1-SHUTTLE-A-NB,13205,47.463250,-122.282670,1275.1
1-SHUTTLE-A-NB,13206,47.463410,-122.282320,1306.87
1-SHUTTLE-A-NB,13207,47.463580,-122.282000,1337.46
1-SHUTTLE-A-NB,13208,47.463890,-122.281460,1390.71
1-SHUTTLE-A-NB,13209,47.464280,-122.280870,1452.74
1-SHUTTLE-A-NB,13210,47.464860,-122.279970,1546.21
1-SHUTTLE-A-NB,13211,47.465090,-122.279550,1586.85
1-SHUTTLE-A-NB,13212,47.465340,-122.278920,1641.76
